K values is: 3


Accurracy is: 0.7078651685393258

Predicted Target:
[1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1
 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1]

Real Target:
[1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1
 1 1 1 1 1 0 1 0 1 1 0 1 1 0 0]


Distances:
[(68, 0.17685534162739552), (152, 0.20630689676879332), (4, 0.21120456452864975)]
[(51, 0.09689422760738281), (23, 0.11636922366835127), (14, 0.12068378978266697)]
[(35, 0.13678711887090458), (29, 0.18830099095803995), (31, 0.19949447612607848)]
[(89, 0.18582939043178107), (105, 0.20345180760736867), (17, 0.22009817205002918)]
[(60, 0.18937612741057014), (145, 0.2156528348387519), (24, 0.22190651557559912)]
[(147, 0.16161252546535182), (20, 0.16472222329982344), (146, 0.18009121881064008)]
[(13, 0.2679315327138423), (158, 0.32743856027479007), (172, 0.3387386564599763)]
[(125, 0.13438213770135754), (11, 0.16952935784372422), (173, 0.18347957413163127)]
[(95, 0.1426100701020015), (150, 0.2027698232956255), (66, 0.20817307926633086)]
[(40, 0.16893139438366436), (110, 0.18001711290549063), (6, 0.18385866298303696)]
[(41, 0.1757731486905903), (22, 0.18492703606065167), (132, 0.18693284484134456)]
[(94, 0.49620515668669607), (13, 0.5358006512429861), (32, 0.5588622696866379)]
[(11, 0.17823066753882605), (129, 0.21679320293051013), (173, 0.2679500899654308)]
[(20, 0.08815006605339437), (155, 0.1176871962013113), (24, 0.14616941872212746)]
[(70, 0.12355184203170472), (133, 0.12878417495085745), (60, 0.13646889643473228)]
[(15, 0.3433803474434207), (69, 0.5253922271247214), (57, 0.5598507126029039)]
[(125, 0.12310221532507147), (130, 0.18624776079806754), (68, 0.19058210315841143)]
[(46, 0.19530503708263916), (50, 0.1965992651283925), (10, 0.1981237875523562)]
[(18, 0.12685388131179684), (93, 0.1488065597620617), (47, 0.18324296406790314)]
[(86, 0.160330877069759), (83, 0.2366270809484858), (20, 0.24809514766848403)]
[(174, 0.18080230693893673), (47, 0.2580797976331545), (136, 0.26123107790798145)]
[(60, 0.18119208770895653), (174, 0.2033090391239861), (147, 0.2107141111624875)]
[(67, 0.19964570835849896), (51, 0.20567202537522283), (97, 0.20864563511156856)]
[(6, 0.09275161475674164), (136, 0.1432671092315588), (110, 0.14500555254170208)]
[(138, 0.11153457389041846), (143, 0.15244800227121366), (66, 0.15446563268843905)]
[(117, 0.11353979584156525), (73, 0.12957492600028628), (164, 0.15913420969034686)]
[(173, 0.14214529751349672), (50, 0.15226322384503846), (161, 0.16140848865302915)]
[(138, 0.11217925508544992), (155, 0.1408318641741663), (20, 0.15005645721210997)]
[(124, 0.15365087122890356), (125, 0.16264150694407245), (23, 0.16642356636963251)]
[(175, 0.12835109856958346), (162, 0.1699299504070338), (35, 0.1838746519519351)]
[(52, 0.11855791759569098), (113, 0.11904619811758076), (146, 0.1403703239433236)]
[(71, 0.33902183749880616), (128, 0.3583500128050144), (99, 0.35901833712997516)]
[(129, 0.1850920164187296), (115, 0.18975313415962367), (140, 0.225788508116604)]
[(112, 0.17370088279856036), (128, 0.17944917268276475), (99, 0.23324504294573806)]
[(77, 0.23763106370286127), (76, 0.3229179435707453), (169, 0.33254692753312426)]
[(87, 0.09991606070457665), (120, 0.10645547067494643), (47, 0.13436503804226294)]
[(13, 0.4451566907513725), (88, 0.449219857087901), (131, 0.5214791035819675)]
[(68, 0.1867317248888781), (105, 0.1942328243574857), (89, 0.20859073853705676)]
[(127, 0.21370335121737785), (11, 0.21667274611676324), (46, 0.24008230942723238)]
[(158, 0.2970646505356104), (58, 0.29873151628668265), (112, 0.31617389547847913)]
[(151, 0.10297878679691287), (138, 0.12747836266492518), (51, 0.13049192050048483)]
[(162, 0.09569651313559958), (35, 0.11669437846370985), (29, 0.14086651137444445)]
[(75, 0.13062487491559574), (119, 0.1523130902575655), (47, 0.15828442246135274)]
[(60, 0.18697979578846408), (95, 0.2516914560567727), (150, 0.2553828640212706)]
[(163, 0.18282056050787926), (130, 0.19305287282826203), (144, 0.20648403167113447)]
[(2, 0.04304967342389702), (140, 0.1470198046789433), (44, 0.22172866585715253)]
[(13, 0.276587905782862), (131, 0.39071317629801067), (16, 0.4216200095045038)]
[(150, 0.13973927223417174), (6, 0.14228365427555195), (176, 0.1449760266466809)]
[(172, 0.38705919582812526), (57, 0.4382159489681534), (15, 0.514975646580083)]
[(160, 0.12614875132939907), (113, 0.1328945667966817), (146, 0.18369390234181351)]
[(28, 0.19657940356321166), (58, 0.21348662967740928), (158, 0.23040306903476065)]
[(51, 0.09918163401893534), (113, 0.11585802674301564), (160, 0.11939407239567927)]
[(127, 0.14393797982245923), (109, 0.15838917998619362), (112, 0.18227091581484142)]
[(176, 0.15951944839436943), (19, 0.1624907587840464), (7, 0.16701365172895805)]
[(136, 0.1555259280683147), (101, 0.16250043128406827), (171, 0.16896974762724692)]
[(169, 0.293568709039964), (13, 0.3467332193123272), (69, 0.38823380265720375)]
[(4, 0.1662014565713802), (125, 0.19251119819730553), (130, 0.19445849137753188)]
[(6, 0.1272615649446803), (133, 0.12995373609025124), (117, 0.1532875598244292)]
[(45, 0.3467126576302684), (152, 0.4478174509773355), (12, 0.46943539152446806)]
[(22, 0.1798965882789059), (162, 0.18470141725515088), (140, 0.1888901474985617)]
[(84, 0.2161792636542374), (2, 0.23088097379484182), (44, 0.23685510495433623)]
[(155, 0.13233827870610834), (145, 0.182328189985917), (20, 0.1875865608879185)]
[(18, 0.14355279692376058), (47, 0.14952963712716902), (73, 0.1722084276108787)]
[(154, 0.4103589961367448), (86, 0.4277230948856398), (103, 0.4464079958239258)]
[(136, 0.10285195160510487), (151, 0.11409328604701417), (138, 0.16383613723310328)]
[(175, 0.1317991284996444), (44, 0.14577734469235895), (109, 0.1734539292480088)]
[(72, 0.5081571232474313), (25, 0.5450568782490275), (149, 0.5924261984903327)]
[(38, 0.12978903289796173), (61, 0.23227474369109355), (157, 0.252271167718249)]
[(15, 0.5267134559682283), (172, 0.7215618942601), (78, 0.7282269843958424)]
[(136, 0.09440115012808431), (47, 0.13276582199828443), (55, 0.14666312890045025)]
[(55, 0.13199400930720553), (110, 0.13537074124673606), (66, 0.1367979802458922)]
[(92, 0.345207958638728), (32, 0.48001934991398865), (94, 0.5550645171567006)]
[(15, 0.22657225555366844), (99, 0.525509780102545), (13, 0.53996486044558)]
[(89, 0.1380251460618163), (173, 0.19052702914212105), (140, 0.22367297282822454)]
[(140, 0.17414198220131344), (89, 0.19013778445504773), (129, 0.1968889131391858)]
[(165, 0.5596527455553921), (25, 0.5897557801226598), (156, 0.6442675764250754)]
[(155, 0.1640088496895299), (20, 0.17317307428679254), (138, 0.1796627953171687)]
[(64, 0.40356258493338226), (76, 0.428067309755051), (148, 0.4685865339671679)]
[(73, 0.11960318845749414), (117, 0.13259694034029568), (47, 0.14292986201277505)]
[(66, 0.12524202534489745), (143, 0.14041441748948838), (167, 0.15006080751769665)]
[(8, 0.5804164281892208), (169, 0.6206506828065547), (22, 0.6762210435930387)]
[(98, 0.11303180556700447), (110, 0.13291628587754448), (82, 0.14494599712773948)]
[(139, 0.24748038762668767), (170, 0.2784184116385659), (38, 0.2818288685758703)]
[(85, 0.15909839658983646), (162, 0.1674377929683102), (90, 0.1782793275627471)]
[(52, 0.18709066405091293), (133, 0.20796118012275072), (104, 0.21686904505084825)]
[(114, 0.14869013053887375), (44, 0.2287989054176214), (122, 0.26698267128915476)]
[(65, 0.14331923106581523), (162, 0.1521349262558391), (151, 0.16381873427258345)]
[(138, 0.121494275650032), (136, 0.15035733676098337), (110, 0.1534752982181933)]
[(138, 0.09430525350586795), (155, 0.17128465466356518), (14, 0.1724003665636889)]
